naics_2_digits,naics_sector,naics_3_digits,naics_subsector,naics_4_digits,naics_industry_group,naics_5_digits,naics_industry
33,Manufacturing,333,Machinery Manufacturing,3333,Commercial and Service Industry Machinery Manufacturing,33331,Commercial and Service Industry Machinery Manufacturing
33,Manufacturing,337,Furniture and Related Product Manufacturing,3379,Other Furniture Related Product Manufacturing,33792,Blind and Shade Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",42383,Industrial Machinery and Equipment Merchant Wholesalers
44,Retail Trade,448,Clothing and Clothing Accessories Stores,4483,"Jewelry, Luggage, and Leather Goods Stores",44832,Luggage and Leather Goods Stores
48,Transportation and Warehousing,485,Transit and Ground Passenger Transportation,4859,Other Transit and Ground Passenger Transportation,48599,Other Transit and Ground Passenger Transportation
51,Information,517,Telecommunications,5172,Wireless Telecommunications Carriers (except Satellite),51721,Wireless Telecommunications Carriers (except Satellite)
52,Finance and Insurance,524,Insurance Carriers and Related Activities,5242,"Agencies, Brokerages, and Other Insurance Related Activities",52421,Insurance Agencies and Brokerages
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",54121,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services"
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5613,Employment Services,56131,Employment Placement Agencies and Executive Search Services
56,Administrative and Support and Waste Management and Remediation Services,562,Waste Management and Remediation Services,5629,Remediation and Other Waste Management Services,56299,All Other Waste Management Services
62,Health Care and Social Assistance,624,Social Assistance,6242,"Community Food and Housing, and Emergency and Other Relief Services",62421,Community Food Services
72,Accommodation and Food Services,721,Accommodation,7211,Traveler Accommodation,72112,Casino Hotels
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8133,Social Advocacy Organizations,81331,Social Advocacy Organizations
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11115,Corn Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",211,Oil and Gas Extraction,2111,Oil and Gas Extraction,21111,Oil and Gas Extraction
23,Construction,238,Specialty Trade Contractors,2383,Building Finishing Contractors,23839,Other Building Finishing Contractors
31,Manufacturing,313,Textile Mills,3131,"Fiber, Yarn, and Thread Mills",31311,"Fiber, Yarn, and Thread Mills"
31,Manufacturing,315,Apparel Manufacturing,3159,Apparel Accessories and Other Apparel Manufacturing,31599,Apparel Accessories and Other Apparel Manufacturing
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32222,Paper Bag and Coated and Treated Paper Manufacturing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32616,Plastics Bottle Manufacturing
61,Educational Services,611,Educational Services,6114,Business Schools and Computer and Management Training,61143,Professional and Management Development Training
62,Health Care and Social Assistance,624,Social Assistance,6242,"Community Food and Housing, and Emergency and Other Relief Services",62422,Community Housing Services
71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7139,Other Amusement and Recreation Industries,71392,Skiing Facilities
22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation
31,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31131,Sugar Manufacturing
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31522,Men’s and Boys’ Cut and Sew Apparel Manufacturing
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32223,Stationery Product Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3271,Clay Product and Refractory Manufacturing,32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3326,Spring and Wire Product Manufacturing,33261,Spring and Wire Product Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33399,All Other General Purpose Machinery Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33994,Office Supplies (except Paper) Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",42432,Mens and Boys Clothing and Furnishings Merchant Wholesalers
45,Retail Trade,452,General Merchandise Stores,4529,Other General Merchandise Stores,45291,Warehouse Clubs and Supercenters
49,Transportation and Warehousing,493,Warehousing and Storage,4931,Warehousing and Storage,49312,Refrigerated Warehousing and Storage
51,Information,519,Other Information Services,5191,Other Information Services,51912,Libraries and Archives
53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53111,Lessors of Residential Buildings and Dwellings
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",54137,Surveying and Mapping (except Geophysical) Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5614,Business Support Services,56141,Document Preparation Services
61,Educational Services,611,Educational Services,6116,Other Schools and Instruction,61162,Sports and Recreation Instruction
71,"Arts, Entertainment, and Recreation",711,"Performing Arts, Spectator Sports, and Related Industries",7112,Spectator Sports,71121,Spectator Sports
81,Other Services (except Public Administration),811,Repair and Maintenance,8111,Automotive Repair and Maintenance,81111,Automotive Mechanical and Electrical Repair and Maintenance
92,Public Administration,921,"Executive, Legislative, and Other General Government Suppor",9211,"Executive, Legislative, and Other General Government Suppor",92113,Public Finance Activities
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1123,Poultry and Egg Production,11232,Broilers and Other Meat Type Chicken Production
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21231,Stone Mining and Quarrying
31,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31122,Starch and Vegetable Fats and Oils Manufacturing
31,Manufacturing,313,Textile Mills,3133,Textile and Fabric Finishing and Fabric Coating Mills,31331,Textile and Fabric Finishing Mills
31,Manufacturing,316,Leather and Allied Product Manufacturing,3162,Footwear Manufacturing,31621,Footwear Manufacturing
32,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32311,Printing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3272,Glass and Glass Product Manufacturing,32721,Glass and Glass Product Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3315,Foundries,33152,Nonferrous Metal Foundries
33,Manufacturing,333,Machinery Manufacturing,3332,Industrial Machinery Manufacturing,33329,Other Industrial Machinery Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33399,All Other General Purpose Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
33,Manufacturing,339,Miscellaneous Manufacturing,3391,Medical Equipment and Supplies Manufacturing,33911,Medical Equipment and Supplies Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",42373,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
44,Retail Trade,446,Health and Personal Care Stores,4461,Health and Personal Care Stores,44612,"Cosmetics, Beauty Supplies, and Perfume Stores"
48,Transportation and Warehousing,483,Water Transportation,4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",48311,"Deep Sea, Coastal, and Great Lakes Water Transportation"
51,Information,512,Motion Picture and Sound Recording Industries,5121,Motion Picture and Video Industries,51213,Motion Picture and Video Exhibition
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5223,Activities Related to Credit Intermediation,52239,Other Activities Related to Credit Intermediation
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",54121,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services"
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5614,Business Support Services,56149,Other Business Support Services
61,Educational Services,611,Educational Services,6116,Other Schools and Instruction,61169,All Other Schools and Instruction
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1112,Vegetable and Melon Farming,11121,Vegetable and Melon Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21222,Gold Ore and Silver Ore Mining
31,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31131,Sugar Manufacturing
31,Manufacturing,314,Textile Product Mills,3149,Other Textile Product Mills,31491,Textile Bag and Canvas Mills
32,Manufacturing,321,Wood Product Manufacturing,3219,Other Wood Product Manufacturing,32191,Millwork
32,Manufacturing,324,Petroleum and Coal Products Manufacturing,3241,Petroleum and Coal Products Manufacturing,32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing"
33,Manufacturing,331,Primary Metal Manufacturing,3313,Alumina and Aluminum Production and Processing,33131,Alumina and Aluminum Production and Processing
33,Manufacturing,333,Machinery Manufacturing,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",33311,Agricultural Implement Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3341,Computer and Peripheral Equipment Manufacturing,33411,Computer and Peripheral Equipment Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33639,Other Motor Vehicle Parts Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",42434,Footwear Merchant Wholesalers
45,Retail Trade,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4511,"Sporting Goods, Hobby, and Musical Instrument Stores",45114,Musical Instrument and Supplies Stores
48,Transportation and Warehousing,488,Support Activities for Transportation,4884,Support Activities for Road Transportation,48841,Motor Vehicle Towing
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5222,Nondepository Credit Intermediation,52229,Other Nondepository Credit Intermediation
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",54136,Geophysical Surveying and Mapping Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5613,Employment Services,56133,Professional Employer Organizations
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6211,Offices of Physicians,62111,Offices of Physicians
72,Accommodation and Food Services,721,Accommodation,7212,RV (Recreational Vehicle) Parks and Recreational Camps,72121,RV (Recreational Vehicle) Parks and Recreational Camps
81,Other Services (except Public Administration),812,Personal and Laundry Services,8129,Other Personal Services,81299,All Other Personal Services
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1112,Vegetable and Melon Farming,11121,Vegetable and Melon Farming
22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation
31,Manufacturing,314,Textile Product Mills,3141,Textile Furnishings Mills,31411,Carpet and Rug Mills
32,Manufacturing,321,Wood Product Manufacturing,3219,Other Wood Product Manufacturing,32191,Millwork
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32518,Other Basic Inorganic Chemical Manufacturing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32614,Polystyrene Foam Product Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3328,"Coating, Engraving, Heat Treating, and Allied Activities",33281,"Coating, Engraving, Heat Treating, and Allied Activities"
33,Manufacturing,333,Machinery Manufacturing,3335,Metalworking Machinery Manufacturing,33351,Metalworking Machinery Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3369,Other Transportation Equipment Manufacturing,33699,Other Transportation Equipment Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,42314,Motor Vehicle Parts (Used) Merchant Wholesalers
44,Retail Trade,441,Motor Vehicle and Parts Dealers,4412,Other Motor Vehicle Dealers,44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers"
45,Retail Trade,453,Miscellaneous Store Retailers,4539,Other Miscellaneous Store Retailers,45399,All Other Miscellaneous Store Retailers
49,Transportation and Warehousing,491,Postal Service,4911,Postal Service,49111,Postal Service
53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",54161,Management Consulting Services
62,Health Care and Social Assistance,624,Social Assistance,6244,Child Day Care Services,62441,Child Day Care Services
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8132,Grantmaking and Giving Services,81321,Grantmaking and Giving Services
92,Public Administration,926,Administration of Economic Programs,9261,Administration of Economic Programs,92613,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities"
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8133,Social Advocacy Organizations,81331,Social Advocacy Organizations
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1123,Poultry and Egg Production,11231,Chicken Egg Production
23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23621,Industrial Building Construction
31,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31122,Starch and Vegetable Fats and Oils Manufacturing
31,Manufacturing,313,Textile Mills,3131,"Fiber, Yarn, and Thread Mills",31311,"Fiber, Yarn, and Thread Mills"
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31522,Men’s and Boys’ Cut and Sew Apparel Manufacturing
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32222,Paper Bag and Coated and Treated Paper Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",32531,Fertilizer Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3271,Clay Product and Refractory Manufacturing,32712,Clay Building Material and Refractories Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3315,Foundries,33152,Nonferrous Metal Foundries
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3324,"Boiler, Tank, and Shipping Container Manufacturing",33243,"Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing"
33,Manufacturing,333,Machinery Manufacturing,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3346,Manufacturing and Reproducing Magnetic and Optical Media,33461,Manufacturing and Reproducing Magnetic and Optical Media
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33632,Motor Vehicle Electrical and Electronic Equipment Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3391,Medical Equipment and Supplies Manufacturing,33911,Medical Equipment and Supplies Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42442,Packaged Frozen Food Merchant Wholesalers
44,Retail Trade,445,Food and Beverage Stores,4452,Specialty Food Stores,44529,Other Specialty Food Stores
48,Transportation and Warehousing,481,Air Transportation,4811,Scheduled Air Transportation,48111,Scheduled Air Transportation
51,Information,512,Motion Picture and Sound Recording Industries,5121,Motion Picture and Video Industries,51219,Postproduction Services and Other Motion Picture and Video Industries
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5413,"Architectural, Engineering, and Related Services",54133,Engineering Services
61,Educational Services,611,Educational Services,6114,Business Schools and Computer and Management Training,61142,Computer Training
72,Accommodation and Food Services,721,Accommodation,7211,Traveler Accommodation,72111,Hotels (except Casino Hotels) and Motels
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11132,Citrus (except Orange) Groves
11,"Agriculture, Forestry, Fishing and Hunting",114,"Fishing, Hunting and Trapping",1141,Fishing,11411,Fishing
22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation
31,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31122,Starch and Vegetable Fats and Oils Manufacturing
31,Manufacturing,315,Apparel Manufacturing,3151,Apparel Knitting Mills,31511,Hosiery and Sock Mills
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32513,Synthetic Dye and Pigment Manufacturing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3262,Rubber Product Manufacturing,32629,Other Rubber Product Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3329,Other Fabricated Metal Product Manufacturing,33291,Metal Valve Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",33361,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3359,Other Electrical Equipment and Component Manufacturing,33599,All Other Electrical Equipment and Component Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3391,Medical Equipment and Supplies Manufacturing,33911,Medical Equipment and Supplies Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,42345,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
44,Retail Trade,443,Electronics and Appliance Stores,4431,Electronics and Appliance Stores,44312,Computer and Software Stores
45,Retail Trade,453,Miscellaneous Store Retailers,4539,Other Miscellaneous Store Retailers,45392,Art Dealers
48,Transportation and Warehousing,488,Support Activities for Transportation,4884,Support Activities for Road Transportation,48849,Other Support Activities for Road Transportation
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5222,Nondepository Credit Intermediation,52221,Credit Card Issuing
53,Real Estate and Rental and Leasing,531,Real Estate,5311,Lessors of Real Estate,53113,Lessors of Miniwarehouses and Self-Storage Units
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5615,Travel Arrangement and Reservation Services,56151,Travel Agencies
62,Health Care and Social Assistance,624,Social Assistance,6243,Vocational Rehabilitation Services,62431,Vocational Rehabilitation Services
81,Other Services (except Public Administration),811,Repair and Maintenance,8114,Personal and Household Goods Repair and Maintenance,81141,Home and Garden Equipment and Appliance Repair and Maintenance
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11113,Dry Pea and Bean Farming
11,"Agriculture, Forestry, Fishing and Hunting",114,"Fishing, Hunting and Trapping",1141,Fishing,11411,Fishing
22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation
31,Manufacturing,311,Food Manufacturing,3118,Bakeries and Tortilla Manufacturing,31183,Tortilla Manufacturing
31,Manufacturing,312,Beverage and Tobacco Product Manufacturing,3122,Tobacco Manufacturing,31223,Tobacco Manufacturing
32,Manufacturing,321,Wood Product Manufacturing,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
32,Manufacturing,325,Chemical Manufacturing,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",32522,Artificial and Synthetic Fibers and Filaments Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3271,Clay Product and Refractory Manufacturing,32712,Clay Building Material and Refractories Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3323,Architectural and Structural Metals Manufacturing,33232,Ornamental and Architectural Metal Products Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3333,Commercial and Service Industry Machinery Manufacturing,33331,Commercial and Service Industry Machinery Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3351,Electric Lighting Equipment Manufacturing,33511,Electric Lamp Bulb and Part Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3365,Railroad Rolling Stock Manufacturing,33651,Railroad Rolling Stock Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,42311,Automobile and Other Motor Vehicle Merchant Wholesalers
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42449,Other Grocery and Related Products Merchant Wholesalers
44,Retail Trade,445,Food and Beverage Stores,4452,Specialty Food Stores,44529,Other Specialty Food Stores
45,Retail Trade,453,Miscellaneous Store Retailers,4539,Other Miscellaneous Store Retailers,45399,All Other Miscellaneous Store Retailers
48,Transportation and Warehousing,485,Transit and Ground Passenger Transportation,4853,Taxi and Limousine Service,48532,Limousine Service
51,Information,517,Telecommunications,5174,Satellite Telecommunications,51741,Satellite Telecommunications
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5411,Legal Services,54119,Other Legal Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5613,Employment Services,56131,Employment Placement Agencies and Executive Search Services
62,Health Care and Social Assistance,623,Nursing and Residential Care Facilities,6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",62322,Residential Mental Health and Substance Abuse Facilities
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8139,"Business, Professional, Labor, Political, and Similar Organizations",81394,Political Organizations
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11192,Cotton Farming
11,"Agriculture, Forestry, Fishing and Hunting",115,Support Activities for Agriculture and Forestry,1151,Support Activities for Crop Production,11511,Support Activities for Crop Production
23,Construction,236,Construction of Buildings,2361,Residential Building Construction,23611,Residential Building Construction
31,Manufacturing,311,Food Manufacturing,3117,Seafood Product Preparation and Packaging,31171,Seafood Product Preparation and Packaging
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31522,Men’s and Boys’ Cut and Sew Apparel Manufacturing
32,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32312,Support Activities for Printing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3279,Other Nonmetallic Mineral Product Manufacturing,32791,Abrasive Product Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3323,Architectural and Structural Metals Manufacturing,33231,Plate Work and Fabricated Structural Product Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3342,Communications Equipment Manufacturing,33422,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3364,Aerospace Product and Parts Manufacturing,33641,Aerospace Product and Parts Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4246,Chemical and Allied Products Merchant Wholesalers,42461,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
44,Retail Trade,444,Building Material and Garden Equipment and Supplies Dealers,4442,Lawn and Garden Equipment and Supplies Stores,44422,"Nursery, Garden Center, and Farm Supply Stores"
48,Transportation and Warehousing,488,Support Activities for Transportation,4882,Support Activities for Rail Transportation,48821,Support Activities for Rail Transportation
51,Information,517,Telecommunications,5179,Other Telecommunications,51791,Other Telecommunications
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5322,Consumer Goods Rental,53221,Consumer Electronics and Appliances Rental
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5417,Scientific Research and Development Services,54171,"Research and Development in the Physical, Engineering, and Life Sciences"
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5617,Services to Buildings and Dwellings,56179,Other Services to Buildings and Dwellings
61,Educational Services,611,Educational Services,6116,Other Schools and Instruction,61169,All Other Schools and Instruction
71,"Arts, Entertainment, and Recreation",711,"Performing Arts, Spectator Sports, and Related Industries",7111,Performing Arts Companies,71111,Theater Companies and Dinner Theaters
72,Accommodation and Food Services,721,Accommodation,7213,"Rooming and Boarding Houses, Dormitories, and Workers Camps",72131,"Rooming and Boarding Houses, Dormitories, and Workers Camps"
33,Manufacturing,331,Primary Metal Manufacturing,3314,Nonferrous Metal (except Aluminum) Production and Processing,33142,"Copper Rolling, Drawing, Extruding, and Alloying"
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3329,Other Fabricated Metal Product Manufacturing,33299,All Other Fabricated Metal Product Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33391,Pump and Compressor Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
33,Manufacturing,337,Furniture and Related Product Manufacturing,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,33712,Household and Institutional Furniture Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,42369,Other Electronic Parts and Equipment Merchant Wholesalers
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4249,Miscellaneous Nondurable Goods Merchant Wholesalers,42493,"Flower, Nursery Stock, and Florists Supplies Merchant Wholesalers"
45,Retail Trade,454,Nonstore Retailers,4541,Electronic Shopping and Mail-Order Houses,45411,Electronic Shopping and Mail-Order Houses
49,Transportation and Warehousing,493,Warehousing and Storage,4931,Warehousing and Storage,49319,Other Warehousing and Storage
52,Finance and Insurance,521,Monetary Authorities-Central Bank,5211,Monetary Authorities-Central Bank,52111,Monetary Authorities-Central Bank
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5322,Consumer Goods Rental,53228,Other Consumer Goods Rental
55,Management of Companies and Enterprises,551,Management of Companies and Enterprises,5511,Management of Companies and Enterprises,55111,Management of Companies and Enterprises
61,Educational Services,611,Educational Services,6115,Technical and Trade Schools,61151,Technical and Trade Schools
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11114,Wheat Farming
11,"Agriculture, Forestry, Fishing and Hunting",115,Support Activities for Agriculture and Forestry,1153,Support Activities for Forestry,11531,Support Activities for Forestry
31,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31122,Starch and Vegetable Fats and Oils Manufacturing
31,Manufacturing,311,Food Manufacturing,3119,Other Food Manufacturing,31194,Seasoning and Dressing Manufacturing
31,Manufacturing,316,Leather and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,31699,Other Leather and Allied Product Manufacturing
32,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32311,Printing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3274,Lime and Gypsum Product Manufacturing,32742,Gypsum Product Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3321,Forging and Stamping,33211,Forging and Stamping
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33392,Material Handling Equipment Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33631,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,42362,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
44,Retail Trade,446,Health and Personal Care Stores,4461,Health and Personal Care Stores,44613,Optical Goods Stores
